rank,author_id,text,created_at,date,time,author_name,url,sentiment,class
top1,cnexnews@mas.to,"<p>Reuters</p><p>Sony shares tumble on weaker-than-expected annual outlook</p><p><a href=""http://reut.rs/3B05AKV"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/3B05AKV</span><span class=""invisible""></span></a></p>",2023-05-01 05:12:03+00:00,2023-05-01,5:12:03+,CnexNews,https://mas.to/@cnexnews/110291709015561690,negative,mastodon
top1,cnexnews@mas.to,"<p>New York Times</p><p>Stephen Curry had a record-setting performance on Sunday. The Golden State guard scored 50 points, including seven 3-pointers, in a series-clinching win against Sacramento.</p><p><a href=""https://nyti.ms/40PY27W"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nyti.ms/40PY27W</span><span class=""invisible""></span></a></p>",2023-05-01 05:18:01+00:00,2023-05-01,5:18:01+,CnexNews,https://mas.to/@cnexnews/110291732515858062,positive,mastodon
top1,cnexnews@mas.to,"<p>New York Times</p><p>As a man who lost his wife and son in a shooting in Texas wept so loudly that his sobs were audible over a choir singing “Amazing Grace” at a vigil on Sunday, the suspect remained at large. ""Right now, we have zero leads,"" an FBI special agent said.</p><p><a href=""https://nyti.ms/3LoHAFI"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nyti.ms/3LoHAFI</span><span class=""invisible""></span></a></p>",2023-05-01 05:33:02+00:00,2023-05-01,5:33:02+,CnexNews,https://mas.to/@cnexnews/110291791548063720,negative,mastodon
top1,cnexnews@mas.to,"<p>New York Times</p><p>Ukrainian officials warned of a large-scale Russian attack after explosions echoed across Kyiv and the city of Pavlograd.  Follow updates.</p><p><a href=""https://nyti.ms/3HrPahS"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nyti.ms/3HrPahS</span><span class=""invisible""></span></a></p>",2023-05-01 05:48:02+00:00,2023-05-01,5:48:02+,CnexNews,https://mas.to/@cnexnews/110291850528021137,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Soviet and Russian fashion icon Zaitsev dies -agencies</p><p><a href=""http://reut.rs/428H3i7"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/428H3i7</span><span class=""invisible""></span></a></p>",2023-05-01 05:57:02+00:00,2023-05-01,5:57:02+,CnexNews,https://mas.to/@cnexnews/110291885899392826,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Turkey's President Tayyip Erdogan said that Turkish intelligence forces killed Islamic State leader Abu Hussein al-Qurashi in Syria</p><p><a href=""https://reut.rs/3Limysx"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/3Limysx</span><span class=""invisible""></span></a></p>",2023-05-01 06:00:02+00:00,2023-05-01,6:00:02+,CnexNews,https://mas.to/@cnexnews/110291897742471897,negative,mastodon
top1,cnexnews@mas.to,"<p>New York Times</p><p>Explosions echoed across the Ukrainian capital, Kyiv, as Ukrainian officials warned of a large-scale Russian missile attack aimed at targets nationwide. The blasts followed explosions deep behind Russian lines as fighting by both forces intensifies.</p><p><a href=""https://nyti.ms/3VlMvfo"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nyti.ms/3VlMvfo</span><span class=""invisible""></span></a></p>",2023-05-01 06:03:02+00:00,2023-05-01,6:03:02+,CnexNews,https://mas.to/@cnexnews/110291909485416128,negative,mastodon
top1,cnexnews@mas.to,"<p>Axios</p><p>Antibiotic-resistant superbugs are killing more people each year than HIV and malaria, but progress against them worldwide has largely stalled in the wake of the pandemic.</p><p><a href=""https://trib.al/2T34GiW"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">trib.al/2T34GiW</span><span class=""invisible""></span></a></p>",2023-05-01 06:03:02+00:00,2023-05-01,6:03:02+,CnexNews,https://mas.to/@cnexnews/110291909501836516,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Texas police are searching for Francisco Oropesa, who is suspected of fatally shooting five of his neighbours and leaving a small town in southeastern Texas reeling</p><p><a href=""https://reut.rs/40TtzWy"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/40TtzWy</span><span class=""invisible""></span></a></p>",2023-05-01 06:06:02+00:00,2023-05-01,6:06:02+,CnexNews,https://mas.to/@cnexnews/110291921293709320,negative,mastodon
top1,cnexnews@mas.to,"<p>Axios</p><p>Americans retiring now are going it alone: They're the first generation to rely on private savings instead of pensions to navigate the financial vortex of retirement.</p><p><a href=""https://trib.al/5B6Lh4q"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">trib.al/5B6Lh4q</span><span class=""invisible""></span></a></p>",2023-05-01 06:09:02+00:00,2023-05-01,6:09:02+,CnexNews,https://mas.to/@cnexnews/110291933089248531,negative,mastodon
top1,cnexnews@mas.to,"<p>Axios</p><p>America wastes more than 100 billion pounds — or 40% — of its food each year.</p><p><a href=""https://trib.al/q5i9J6k"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">trib.al/q5i9J6k</span><span class=""invisible""></span></a></p>",2023-05-01 06:15:02+00:00,2023-05-01,6:15:02+,CnexNews,https://mas.to/@cnexnews/110291956697217295,negative,mastodon
top1,cnexnews@mas.to,"<p>New York Times</p><p>Jerry Mander, an adman who helped the Sierra Club fight a plan to build two dams in the Grand Canyon and started a think tank to raise awareness about the dangers of economic globalization, died on April 11. He was 86.</p><p><a href=""https://nyti.ms/44ebhSH"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nyti.ms/44ebhSH</span><span class=""invisible""></span></a></p>",2023-05-01 07:03:02+00:00,2023-05-01,7:03:02+,CnexNews,https://mas.to/@cnexnews/110292145416306690,negative,mastodon
top1,cnexnews@mas.to,"<p>AP</p><p>Turkish forces have killed the leader of the Islamic State group during an operation in Syria, Turkish President Recep Tayyip Erdogan said.</p><p><a href=""https://apnews.com/article/turkey-islamic-state-syria-alqurayshi-erdogan-b1ec0c77f760badf559d16272e6c6c6f"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">apnews.com/article/turkey-isla</span><span class=""invisible"">mic-state-syria-alqurayshi-erdogan-b1ec0c77f760badf559d16272e6c6c6f</span></a></p>",2023-05-01 07:03:02+00:00,2023-05-01,7:03:02+,CnexNews,https://mas.to/@cnexnews/110292145448013248,negative,mastodon
top1,cnexnews@mas.to,"<p>Axios</p><p>Ketamine use is surging as people with persistent depression look for alternative treatments, but the industry is showing signs of buckling, leaving some patients stranded without support.</p><p><a href=""https://trib.al/OO1MzrI"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">trib.al/OO1MzrI</span><span class=""invisible""></span></a></p>",2023-05-01 07:06:02+00:00,2023-05-01,7:06:02+,CnexNews,https://mas.to/@cnexnews/110292157241933273,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>A judge in northern Mexico has ordered the head of the national migration authority charged over a fire late last month that killed 40 migrants at a holding center in the border city of Ciudad Juarez, authorities said</p><p><a href=""https://reut.rs/3Hu2zWB"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/3Hu2zWB</span><span class=""invisible""></span></a></p>",2023-05-01 07:18:02+00:00,2023-05-01,7:18:02+,CnexNews,https://mas.to/@cnexnews/110292204393523202,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Too high for comfort: Five questions for the ECB</p><p><a href=""http://reut.rs/3HqsrCK"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/3HqsrCK</span><span class=""invisible""></span></a></p>",2023-05-01 07:21:02+00:00,2023-05-01,7:21:02+,CnexNews,https://mas.to/@cnexnews/110292216209888466,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Manila airport cancels 40 domestic flights after power outage</p><p><a href=""http://reut.rs/40TWRV0"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/40TWRV0</span><span class=""invisible""></span></a></p>",2023-05-01 07:36:01+00:00,2023-05-01,7:36:01+,CnexNews,https://mas.to/@cnexnews/110292275156891627,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Oil prices drop as US rate hike fears, weak China data offset supply cuts</p><p><a href=""http://reut.rs/3VmlBUB"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/3VmlBUB</span><span class=""invisible""></span></a></p>",2023-05-01 08:03:02+00:00,2023-05-01,8:03:02+,CnexNews,https://mas.to/@cnexnews/110292381346044089,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Sony shares tumble on weaker-than-expected annual outlook</p><p><a href=""http://reut.rs/3LdeYzm"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/3LdeYzm</span><span class=""invisible""></span></a></p>",2023-05-01 08:18:01+00:00,2023-05-01,8:18:01+,CnexNews,https://mas.to/@cnexnews/110292440309304019,negative,mastodon
top1,cnexnews@mas.to,"<p>Axios</p><p>Communities of color experienced significantly higher premature death rates than white people during the pandemic and accounted for 59% of the years of life lost during the health crisis, according to a KFF analysis.</p><p><a href=""https://trib.al/XTR2JnG"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">trib.al/XTR2JnG</span><span class=""invisible""></span></a></p>",2023-05-01 08:27:02+00:00,2023-05-01,8:27:02+,CnexNews,https://mas.to/@cnexnews/110292475753780604,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Many countries hosting new arrivals from Sudan, including Chad, face their own problems including food shortages, drought and high prices, creating a humanitarian crisis beyond Sudan's borders that international agencies are struggling to contain</p><p><a href=""https://reut.rs/3ViCvnc"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/3ViCvnc</span><span class=""invisible""></span></a></p>",2023-05-01 08:33:02+00:00,2023-05-01,8:33:02+,CnexNews,https://mas.to/@cnexnews/110292499319442178,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Kane says Spurs' slow starts 'unacceptable'</p><p><a href=""http://reut.rs/40TMMrd"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/40TMMrd</span><span class=""invisible""></span></a></p>",2023-05-01 08:48:02+00:00,2023-05-01,8:48:02+,CnexNews,https://mas.to/@cnexnews/110292558310015348,negative,mastodon
top1,cnexnews@mas.to,"<p>AP</p><p>“It’s just so fun to think the king went to our school.""  Pupils at the first school King Charles III attended are gearing up for his coronation on May 6.  By @DanicaKirka</p><p><a href=""http://apne.ws/QgGce86"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">apne.ws/QgGce86</span><span class=""invisible""></span></a></p>",2023-05-01 08:54:02+00:00,2023-05-01,8:54:02+,CnexNews,https://mas.to/@cnexnews/110292581888220271,positive,mastodon
top1,cnexnews@mas.to,"<p>New York Times</p><p>He led a double life.   In Iran, Alireza Akbari was a loyal senior adviser and former defense official. But our investigation reveals his secret life — as a British spy, informing on Iran’s top nuclear and defense secrets until his arrest and execution.</p><p><a href=""https://nyti.ms/3AJOLn2"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nyti.ms/3AJOLn2</span><span class=""invisible""></span></a></p>",2023-05-01 09:03:01+00:00,2023-05-01,9:03:01+,CnexNews,https://mas.to/@cnexnews/110292617262256009,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>US regulators said First Republic Bank has been seized and a deal agreed to sell the bank to JPMorgan Chase, in what is the third major US institution to fail in two months</p><p><a href=""https://reut.rs/3oUe9Ee"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/3oUe9Ee</span><span class=""invisible""></span></a></p>",2023-05-01 09:06:01+00:00,2023-05-01,9:06:01+,CnexNews,https://mas.to/@cnexnews/110292629052073025,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Sudan conflict shows no sign of easing, UN warns of breaking point</p><p><a href=""http://reut.rs/3Nx3iud"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/3Nx3iud</span><span class=""invisible""></span></a></p>",2023-05-01 09:42:02+00:00,2023-05-01,9:42:02+,CnexNews,https://mas.to/@cnexnews/110292770648070434,negative,mastodon
top1,cnexnews@mas.to,"<p>Axios</p><p>First Republic Bank was seized by regulators and sold to JPMorgan Chase, making it the third major bank failure in eight weeks.</p><p><a href=""https://trib.al/acfdull"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">trib.al/acfdull</span><span class=""invisible""></span></a></p>",2023-05-01 10:06:02+00:00,2023-05-01,0:06:02+,CnexNews,https://mas.to/@cnexnews/110292865014648265,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Autopsies begin on bodies of Kenyan cult members who starved themselves to death</p><p><a href=""http://reut.rs/3LkuMAn"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/3LkuMAn</span><span class=""invisible""></span></a></p>",2023-05-01 10:06:02+00:00,2023-05-01,0:06:02+,CnexNews,https://mas.to/@cnexnews/110292865031834574,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Syrian refugees deported from Lebanon face arrest, conscription, say relatives</p><p><a href=""http://reut.rs/3Vrz6CE"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/3Vrz6CE</span><span class=""invisible""></span></a></p>",2023-05-01 10:12:01+00:00,2023-05-01,0:12:01+,CnexNews,https://mas.to/@cnexnews/110292888576353698,negative,mastodon
top1,cnexnews@mas.to,"<p>Axios</p><p>Chicago Mayor Lori Lightfoot urged Texas Gov. Greg Abbott to stop sending migrant buses to the city because it has ""no more shelters, spaces, or resources to accommodate"" any more.</p><p><a href=""https://trib.al/URLh8xy"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">trib.al/URLh8xy</span><span class=""invisible""></span></a></p>",2023-05-01 10:24:02+00:00,2023-05-01,0:24:02+,CnexNews,https://mas.to/@cnexnews/110292935798918870,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Too high for comfort: Five questions for the ECB</p><p><a href=""http://reut.rs/3AECy3c"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/3AECy3c</span><span class=""invisible""></span></a></p>",2023-05-01 10:27:02+00:00,2023-05-01,0:27:02+,CnexNews,https://mas.to/@cnexnews/110292947589149029,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Mexico's army welcomed a new search puppy, gifted from Turkey, following the death of a Mexican rescue dog which had been helping to find survivors of February's massive earthquake near the Syrian border</p><p><a href=""https://reut.rs/42jOS4E"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/42jOS4E</span><span class=""invisible""></span></a></p>",2023-05-04 04:27:02+00:00,2023-05-04,4:27:02+,CnexNews,https://mas.to/@cnexnews/110308518951584137,positive,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Fed Chair Jerome Powell said the Federal Reserve is unlikely to be able to protect the US economy from damage caused by a failure to raise the federal debt ceiling</p><p><a href=""https://reut.rs/3npejD9"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/3npejD9</span><span class=""invisible""></span></a></p>",2023-05-04 04:30:02+00:00,2023-05-04,4:30:02+,CnexNews,https://mas.to/@cnexnews/110308530775575588,negative,mastodon
top1,cnexnews@mas.to,"<p>New York Times</p><p>Russia accused Ukraine of trying to assassinate President Vladimir Putin with a drone attack after two explosions were seen above the Kremlin, but Ukraine vehemently denied any involvement. Kyiv accused Russia of manufacturing a pretext for escalation.</p><p><a href=""https://nyti.ms/3Vxuw5B"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nyti.ms/3Vxuw5B</span><span class=""invisible""></span></a></p>",2023-05-04 05:03:02+00:00,2023-05-04,5:03:02+,CnexNews,https://mas.to/@cnexnews/110308660526773297,negative,mastodon
top1,cnexnews@mas.to,"<p>Axios</p><p>Brazilian police raid Bolsonaro's home in fake vaccine cards probe</p><p><a href=""https://trib.al/Pr5zLMc"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">trib.al/Pr5zLMc</span><span class=""invisible""></span></a></p>",2023-05-04 05:03:03+00:00,2023-05-04,5:03:03+,CnexNews,https://mas.to/@cnexnews/110308660544686976,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Flooding and landslides triggered by heavy rain have killed more than 130 people in Rwanda and Uganda</p><p><a href=""https://reut.rs/413nLJZ"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/413nLJZ</span><span class=""invisible""></span></a></p>",2023-05-04 05:30:02+00:00,2023-05-04,5:30:02+,CnexNews,https://mas.to/@cnexnews/110308766707283759,negative,mastodon
top1,cnexnews@mas.to,"<p>Axios</p><p>Conservation groups and some state lawmakers are warning that the Florida Legislature's recent move to block seasonal fertilizer bans could hamper local efforts to improve water quality.</p><p><a href=""https://trib.al/TnLYyUI"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">trib.al/TnLYyUI</span><span class=""invisible""></span></a></p>",2023-05-04 05:45:02+00:00,2023-05-04,5:45:02+,CnexNews,https://mas.to/@cnexnews/110308825641413325,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Largest banks doing big deals not ideal, FRC an exception - Powell</p><p><a href=""http://reut.rs/3NymvLW"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/3NymvLW</span><span class=""invisible""></span></a></p>",2023-05-04 06:03:02+00:00,2023-05-04,6:03:02+,CnexNews,https://mas.to/@cnexnews/110308896465567543,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>China says claims of officials 'coercing' Canadian congressman, relatives are false</p><p><a href=""http://reut.rs/3nvphqG"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/3nvphqG</span><span class=""invisible""></span></a></p>",2023-05-04 06:06:02+00:00,2023-05-04,6:06:02+,CnexNews,https://mas.to/@cnexnews/110308908212454058,negative,mastodon
top1,cnexnews@mas.to,"<p>Axios</p><p>Outrage builds as death of homeless New York subway rider placed in chokehold ruled a homicide</p><p><a href=""https://trib.al/rRDynv2"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">trib.al/rRDynv2</span><span class=""invisible""></span></a></p>",2023-05-04 06:27:01+00:00,2023-05-04,6:27:01+,CnexNews,https://mas.to/@cnexnews/110308990771686314,negative,mastodon
top1,cnexnews@mas.to,"<p>New York Times</p><p>Local elections are being held across England on Thursday. They will be a test for Prime Minister Rishi Sunak, whose government remains unpopular in the face of surging inflation, sluggish economic growth and labor unrest.  Here's what is at stake.</p><p><a href=""https://nyti.ms/3ATQG8U"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nyti.ms/3ATQG8U</span><span class=""invisible""></span></a></p>",2023-05-04 06:30:02+00:00,2023-05-04,6:30:02+,CnexNews,https://mas.to/@cnexnews/110309002627778037,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Dollar slides after Fed signals pause; banking woes dent confidence</p><p><a href=""http://reut.rs/419P19D"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/419P19D</span><span class=""invisible""></span></a></p>",2023-05-04 06:36:02+00:00,2023-05-04,6:36:02+,CnexNews,https://mas.to/@cnexnews/110309026192758654,negative,mastodon
top1,cnexnews@mas.to,"<p>Axios</p><p>U.S. Dem lawmakers tell Bibi judicial overhaul makes defending Israel hard</p><p><a href=""https://trib.al/hY3dbW9"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">trib.al/hY3dbW9</span><span class=""invisible""></span></a></p>",2023-05-04 06:48:02+00:00,2023-05-04,6:48:02+,CnexNews,https://mas.to/@cnexnews/110309073378271119,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Striking film and television writers met with union leadership on Wednesday, the second day of a work stoppage that has thrown Hollywood into disarray as the industry deals with changes brought on by the streaming TV boom</p><p><a href=""https://reut.rs/3Vy5q6O"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">reut.rs/3Vy5q6O</span><span class=""invisible""></span></a></p>",2023-05-04 07:03:03+00:00,2023-05-04,7:03:03+,CnexNews,https://mas.to/@cnexnews/110309132405401605,negative,mastodon
top1,cnexnews@mas.to,"<p>Axios</p><p>The U.S. overdose death rate involving fentanyl nearly quadrupled between 2016 and 2021, according to a report published Wednesday.</p><p><a href=""https://trib.al/mpNY1db"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">trib.al/mpNY1db</span><span class=""invisible""></span></a></p>",2023-05-04 07:09:02+00:00,2023-05-04,7:09:02+,CnexNews,https://mas.to/@cnexnews/110309155930396435,negative,mastodon
top1,cnexnews@mas.to,"<p>New York Times</p><p>Ukraine is bracing for any retaliatory strikes a day after two explosions over the Kremlin, though it remains unknown what caused the incident. Russia has blamed Ukraine without providing evidence.  Follow updates.</p><p><a href=""https://nyti.ms/3LzttNV"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">nyti.ms/3LzttNV</span><span class=""invisible""></span></a></p>",2023-05-04 07:18:02+00:00,2023-05-04,7:18:02+,CnexNews,https://mas.to/@cnexnews/110309191370402955,negative,mastodon
